#"+ESI Scan (rt: 2.027-3.309 min, 78 scans) Frag=225.0V frag WW.d  Deconvoluted (Isotope Width=11.4)"
#Point,X(Daltons),Y(Counts)
269,5269.00,0.000614660151768476
270,5270.00,0.000245725736021996
271,5271.00,7.07732906448655E-05
272,5272.00,1.54336757987039E-05
273,5273.00,2.85811302092043E-06
274,5274.00,5.52913377305231E-07
275,5275.00,1.53126336499554E-07
276,5276.00,8.82109887356819E-08
277,5277.00,1.39098418117101E-07
278,5278.00,5.97401083268778E-07
279,5279.00,5.18792012371705E-06
280,5280.00,6.00744133407716E-05
281,5281.00,0.000649283756501973
282,5282.00,0.00521838245913386
283,5283.00,0.0280136000365019
284,5284.00,0.0983460918068886
285,5285.00,0.233558967709541
286,5286.00,0.40051132440567
287,5287.00,0.536756873130798
288,5288.00,0.608675360679626
289,5289.00,0.625523865222931
290,5290.00,0.611672580242157
291,5291.00,0.58218777179718
292,5292.00,0.536883592605591
293,5293.00,0.467253804206848
294,5294.00,0.370248764753342
295,5295.00,0.259157657623291
296,5296.00,0.158441379666328
297,5297.00,0.0858622267842293
298,5298.00,0.0428906790912151
299,5299.00,0.0208397302776575
300,5300.00,0.0103900581598282
301,5301.00,0.00552573706954718
302,5302.00,0.00318479212000966
303,5303.00,0.0019760625436902
304,5304.00,0.00129102799110115
305,5305.00,0.000862216693349183
306,5306.00,0.000569625932257622
307,5307.00,0.000359130732249469
308,5308.00,0.000207689692615531
309,5309.00,0.000105904837255366
310,5310.00,4.62617790617514E-05
311,5311.00,1.72745985764777E-05
312,5312.00,5.74558680455084E-06
313,5313.00,1.869032189461E-06
314,5314.00,6.82503355164954E-07
315,5315.00,3.24987638578023E-07
316,5316.00,2.25787061935989E-07
317,5317.00,2.3705948137831E-07
318,5318.00,3.60148192157794E-07
319,5319.00,7.26952919194446E-07
320,5320.00,1.79500545982592E-06
321,5321.00,5.13448321726173E-06
322,5322.00,1.65769124578219E-05
323,5323.00,5.96141289861407E-05
324,5324.00,0.000234053426538594
325,5325.00,0.000963968981523067
326,5326.00,0.00392290903255343
327,5327.00,0.014730547554791
328,5328.00,0.0479419641196728
329,5329.00,0.129019156098366
330,5330.00,0.278749793767929
331,5331.00,0.476403206586838
332,5332.00,0.642026960849762
333,5333.00,0.687628388404846
334,5334.00,0.597308754920959
335,5335.00,0.435147881507874
336,5336.00,0.277775675058365
337,5337.00,0.162831261754036
338,5338.00,0.0912879705429077
339,5339.00,0.0503027476370335
340,5340.00,0.0276060756295919
341,5341.00,0.0151550890877843
342,5342.00,0.00834060460329056
343,5343.00,0.00460839411243796
344,5344.00,0.0025426740758121
345,5345.00,0.00137132091913372
346,5346.00,0.000693715817760676
347,5347.00,0.000312005053274333
348,5348.00,0.000118935080536176
349,5349.00,3.76651951228268E-05
350,5350.00,1.01804671430727E-05
351,5351.00,2.55648023994581E-06
352,5352.00,6.86194823629194E-07
353,5353.00,2.3414320082793E-07
354,5354.00,1.1949300926517E-07
355,5355.00,1.0059042665489E-07
356,5356.00,1.39355563533172E-07
357,5357.00,2.884110301693E-07
358,5358.00,7.67802646350901E-07
359,5359.00,2.25916983254137E-06
360,5360.00,6.5438803176221E-06
361,5361.00,1.75842178578023E-05
362,5362.00,4.39669893239625E-05
363,5363.00,0.000108407366496976
364,5364.00,0.000288211944280192
365,5365.00,0.000895677250809968
366,5366.00,0.00335085904225707
367,5367.00,0.0144435008987784
368,5368.00,0.0646276101469994
369,5369.00,0.264345705509186
370,5370.00,0.884184956550598
371,5371.00,2.2509753704071
372,5372.00,4.2554726600647
373,5373.00,6.08238983154297
374,5374.00,6.89817762374878
375,5375.00,6.59854125976563
376,5376.00,5.61983919143677
377,5377.00,4.39828872680664
378,5378.00,3.17793321609497
379,5379.00,2.09362077713013
380,5380.00,1.24556660652161
381,5381.00,0.67848801612854
382,5382.00,0.355110436677933
383,5383.00,0.192781522870064
384,5384.00,0.11757306009531
385,5385.00,0.084494836628437
386,5386.00,0.0708020254969597
387,5387.00,0.0646188855171204
388,5388.00,0.0582468919456005
389,5389.00,0.0473935790359974
390,5390.00,0.0330096706748009
391,5391.00,0.0196087751537561
392,5392.00,0.0103771686553955
393,5393.00,0.00529566267505288
394,5394.00,0.00288005825132132
395,5395.00,0.00186061521526426
396,5396.00,0.0015916476259008
397,5397.00,0.00198681303299963
398,5398.00,0.00384991918690503
399,5399.00,0.0115144327282906
400,5400.00,0.0485013835132122
401,5401.00,0.244929522275925
402,5402.00,1.23234868049622
403,5403.00,5.26192569732666
404,5404.00,17.1645603179932
405,5405.00,41.0545120239258
406,5406.00,73.1132736206055
407,5407.00,102.425979614258
408,5408.00,121.51904296875
409,5409.00,131.198913574219
410,5410.00,136.046783447266
411,5411.00,139.492874145508
412,5412.00,142.702224731445
413,5413.00,145.969421386719
414,5414.00,150.68864440918
415,5415.00,160.708480834961
416,5416.00,183.128540039063
417,5417.00,229.897201538086
418,5418.00,321.344146728516
419,5419.00,489.754028320313
420,5420.00,773.553771972656
421,5421.00,1184.51940917969
422,5422.00,1648.64978027344
423,5423.00,1988.443359375
424,5424.00,2031.78198242188
425,5425.00,1768.43347167969
426,5426.00,1353.29040527344
427,5427.00,957.773132324219
428,5428.00,663.206970214844
429,5429.00,469.746063232422
430,5430.00,346.275390625
431,5431.00,261.763946533203
432,5432.00,195.353530883789
433,5433.00,137.765502929688
434,5434.00,88.8545608520508
435,5435.00,51.8029670715332
436,5436.00,27.5981216430664
437,5437.00,13.8381690979004
438,5438.00,6.81721878051758
439,5439.00,3.47751951217651
440,5440.00,1.94811809062958
441,5441.00,1.27130270004272
442,5442.00,1.01330828666687
443,5443.00,1.0075751543045
444,5444.00,1.23081362247467
445,5445.00,1.7542929649353
446,5446.00,2.70172142982483
447,5447.00,4.12520122528076
448,5448.00,5.76344680786133
449,5449.00,6.91218662261963
450,5450.00,6.82528352737427
451,5451.00,5.45455455780029
452,5452.00,3.55623912811279
453,5453.00,1.95329308509827
