Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y	Cycle=17_Fc=2-1_X	Cycle=17_Fc=2-1_Y	Cycle=18_Fc=2-1_X	Cycle=18_Fc=2-1_Y	Cycle=19_Fc=2-1_X	Cycle=19_Fc=2-1_Y	Cycle=20_Fc=2-1_X	Cycle=20_Fc=2-1_Y	Cycle=21_Fc=2-1_X	Cycle=21_Fc=2-1_Y	Cycle=22_Fc=2-1_X	Cycle=22_Fc=2-1_Y	Cycle=23_Fc=2-1_X	Cycle=23_Fc=2-1_Y	Cycle=24_Fc=2-1_X	Cycle=24_Fc=2-1_Y	Cycle=25_Fc=2-1_X	Cycle=25_Fc=2-1_Y	Cycle=26_Fc=2-1_X	Cycle=26_Fc=2-1_Y	Cycle=27_Fc=2-1_X	Cycle=27_Fc=2-1_Y	Cycle=28_Fc=2-1_X	Cycle=28_Fc=2-1_Y	Cycle=29_Fc=2-1_X	Cycle=29_Fc=2-1_Y	Cycle=30_Fc=2-1_X	Cycle=30_Fc=2-1_Y
6,3	2,81055	6,3	1,32227	6,3	0,03125	6,3	-0,0605469	6,3	-0,611328	6,3	0,712891	6,3	-0,0390625	6,3	0,310547	6,3	0,490234	6,3	1,50977	6,3	2,05078	6,3	2,5	6,3	2,95117	6,3	3,2207	6,3	3,56055	6,3	3,84961
6,4	2,82031	6,4	1,35156	6,4	0,0410156	6,4	-0,0703125	6,4	-0,599609	6,4	0,703125	6,4	-0,0390625	6,4	0,320313	6,4	0,509766	6,4	1,50977	6,4	2,04102	6,4	2,52148	6,4	2,96094	6,4	3,24023	6,4	3,58008	6,4	3,83984
6,5	2,84961	6,5	1,35156	6,5	0,0507813	6,5	-0,0605469	6,5	-0,611328	6,5	0,720703	6,5	-0,0410156	6,5	0,337891	6,5	0,529297	6,5	1,50781	6,5	2,0293	6,5	2,5293	6,5	2,94922	6,5	3,25781	6,5	3,57813	6,5	3,83789
6,6	2,81836	6,6	1,33008	6,6	0,0390625	6,6	-0,0820313	6,6	-0,621094	6,6	0,689453	6,6	-0,0820313	6,6	0,328125	6,6	0,527344	6,6	1,48828	6,6	2,00781	6,6	2,49805	6,6	2,93945	6,6	3,23828	6,6	3,53711	6,6	3,82813
6,7	2,80859	6,7	1,32031	6,7	0,0703125	6,7	-0,0917969	6,7	-0,609375	6,7	0,691406	6,7	-0,0800781	6,7	0,318359	6,7	0,507813	6,7	1,47852	6,7	2,00977	6,7	2,49805	6,7	2,92969	6,7	3,24805	6,7	3,53906	6,7	3,79883
6,8	2,79883	6,8	1,29102	6,8	0,0585938	6,8	-0,0917969	6,8	-0,611328	6,8	0,699219	6,8	-0,101563	6,8	0,318359	6,8	0,517578	6,8	1,44727	6,8	1,97852	6,8	2,46875	6,8	2,92969	6,8	3,21875	6,8	3,54688	6,8	3,75781
6,9	2,81055	6,9	1,29102	6,9	0,0917969	6,9	-0,0898438	6,9	-0,638672	6,9	0,701172	6,9	-0,0898438	6,9	0,339844	6,9	0,539063	6,9	1,47852	6,9	1,99023	6,9	2,49023	6,9	2,91992	6,9	3,24023	6,9	3,56836	6,9	3,78906
7	2,80078	7	1,31055	7	0,101563	7	-0,0898438	7	-0,589844	7	0,720703	7	-0,0800781	7	0,349609	7	0,529297	7	1,46875	7	2	7	2,5	7	2,96094	7	3,23828	7	3,55859	7	3,7793
7,1	2,78711	7,1	1,28906	7,1	0,109375	7,1	-0,103516	7,1	-0,591797	7,1	0,738281	7,1	-0,0722656	7,1	0,359375	7,1	0,527344	7,1	1,47656	7,1	1,97656	7,1	2,48828	7,1	2,96875	7,1	3,23633	7,1	3,56641	7,1	3,76758
7,2	2,78711	7,2	1,29883	7,2	0,128906	7,2	-0,113281	7,2	-0,601563	7,2	0,71875	7,2	-0,0722656	7,2	0,357422	7,2	0,507813	7,2	1,4668	7,2	1,95703	7,2	2,48828	7,2	2,95898	7,2	3,22656	7,2	3,56641	7,2	3,74805
