Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y
5,6	-5,18164	5,6	-5,90039	5,6	-4,14063	5,6	-2,66211	5,6	-0,230469	5,6	0,427734	5,6	1,91992	5,6	2,48828	5,6	2,39844	5,6	2,96094	5,6	2,16992	5,6	2,99023	5,6	3,07031
5,7	-5,18164	5,7	-5,90039	5,7	-4,14063	5,7	-2,66211	5,7	-0,230469	5,7	0,439453	5,7	1,91016	5,7	2,47852	5,7	2,46875	5,7	2,98047	5,7	2,16016	5,7	2,99219	5,7	3,06055
5,8	-5,19141	5,8	-5,89063	5,8	-4,13086	5,8	-2,64258	5,8	-0,208984	5,8	0,458984	5,8	1,90039	5,8	2,47852	5,8	2,47852	5,8	3,02148	5,8	2,17188	5,8	2,98047	5,8	3,06055
5,9	-5,25	5,9	-5,9707	5,9	-4,21094	5,9	-2,71289	5,9	-0,238281	5,9	0,388672	5,9	1,83984	5,9	2,41016	5,9	2,41016	5,9	2,9707	5,9	2,11133	5,9	2,9707	5,9	2,98047
6	-5,23047	6	-5,9707	6	-4,19141	6	-2,71289	6	-0,21875	6	0,417969	6	1,84961	6	2,41797	6	2,41992	6	2,99023	6	2,13086	6	3,00195	6	3
6,1	-5,23047	6,1	-5,9707	6,1	-4,19141	6,1	-2,72266	6,1	-0,199219	6,1	0,417969	6,1	1,84961	6,1	2,41797	6,1	2,39844	6,1	2,99023	6,1	2,13086	6,1	3	6,1	3
6,2	-5,23047	6,2	-5,94141	6,2	-4,15039	6,2	-2,67188	6,2	-0,177734	6,2	0,458984	6,2	1,86133	6,2	2,46094	6,2	2,41992	6,2	2,95117	6,2	2,18164	6,2	3,01172	6,2	3,01172
6,3	-5,25977	6,3	-5,91992	6,3	-4,16016	6,3	-2,68164	6,3	-0,207031	6,3	0,429688	6,3	1,8418	6,3	2,45117	6,3	2,41992	6,3	2,93164	6,3	2,17188	6,3	3,00195	6,3	3,00195
6,4	-5,25	6,4	-5,91016	6,4	-4,13867	6,4	-2,68164	6,4	-0,207031	6,4	0,429688	6,4	1,8418	6,4	2,45313	6,4	2,41992	6,4	2,94336	6,4	2,18359	6,4	3,02344	6,4	3,03125
6,5	-5,24219	6,5	-5,92188	6,5	-4,16016	6,5	-2,69141	6,5	-0,208984	6,5	0,447266	6,5	1,86133	6,5	2,46094	6,5	2,41992	6,5	2,93164	6,5	2,19141	6,5	3,02148	6,5	3,06055
