Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
3	0	3	16.2695	3	24.3594	3	26.998	3	28.3457	3	28.9473	3	30.1602	3	30.4219	3	31.0215	3	32.1621	3	33.6504	3	33.9805	3	35.7988	3	36.7383	3	38.5566	3	39.9219
3.1	0	3.1	16.2813	3.1	24.3594	3.1	27	3.1	28.3359	3.1	28.9473	3.1	30.1504	3.1	30.4219	3.1	31.0117	3.1	32.1621	3.1	33.6406	3.1	33.959	3.1	35.7891	3.1	36.7383	3.1	38.5469	3.1	39.9121
3.2	0	3.2	16.3203	3.2	24.3984	3.2	27.0391	3.2	28.375	3.2	28.9961	3.2	30.1895	3.2	30.4609	3.2	31.0508	3.2	32.2012	3.2	33.6895	3.2	34.0098	3.2	35.8281	3.2	36.7773	3.2	38.5859	3.2	39.9609
3.3	0	3.3	16.3203	3.3	24.3984	3.3	27.0391	3.3	28.3867	3.3	28.9863	3.3	30.1895	3.3	30.4609	3.3	31.0508	3.3	32.2012	3.3	33.6895	3.3	34.0098	3.3	35.8281	3.3	36.7773	3.3	38.5762	3.3	39.9707
3.4	0	3.4	16.332	3.4	24.4004	3.4	27.0508	3.4	28.3887	3.4	28.998	3.4	30.1914	3.4	30.4727	3.4	31.0625	3.4	32.2031	3.4	33.6816	3.4	34.0215	3.4	35.8398	3.4	36.7793	3.4	38.5879	3.4	39.9727
3.5	0	3.5	16.3516	3.5	24.4102	3.5	27.0605	3.5	28.3984	3.5	29.0078	3.5	30.2109	3.5	30.4707	3.5	31.0723	3.5	32.2129	3.5	33.6914	3.5	34.0313	3.5	35.8301	3.5	36.7988	3.5	38.5977	3.5	39.9922
3.6	0	3.6	16.3398	3.6	24.4082	3.6	27.0586	3.6	28.3965	3.6	29.0059	3.6	30.1992	3.6	30.4707	3.6	31.0703	3.6	32.2109	3.6	33.6895	3.6	34.0195	3.6	35.8379	3.6	36.7969	3.6	38.6074	3.6	39.9805
3.7	0	3.7	16.3711	3.7	24.4199	3.7	27.0703	3.7	28.4102	3.7	29.0176	3.7	30.2109	3.7	30.4922	3.7	31.0918	3.7	32.2227	3.7	33.7012	3.7	34.0313	3.7	35.8496	3.7	36.8086	3.7	38.6191	3.7	39.9922
3.8	0	3.8	16.3809	3.8	24.4395	3.8	27.0898	3.8	28.4492	3.8	29.0371	3.8	30.2402	3.8	30.502	3.8	31.1016	3.8	32.2422	3.8	33.7402	3.8	34.0605	3.8	35.8809	3.8	36.8184	3.8	38.6387	3.8	40.0215
3.9	0	3.9	16.3887	3.9	24.4375	3.9	27.0879	3.9	28.4375	3.9	29.0449	3.9	30.2383	3.9	30.5098	3.9	31.1094	3.9	32.2402	3.9	33.7383	3.9	34.0586	3.9	35.8789	3.9	36.8262	3.9	38.627	3.9	40.0195
4	0	4	16.3809	4	24.4297	4	27.0703	4	28.418	4	29.0391	4	30.2305	4	30.502	4	31.1016	4	32.2422	4	33.7422	4	34.0605	4	35.8809	4	36.8086	4	38.6289	4	40.0117
4.1	0	4.1	16.3906	4.1	24.4395	4.1	27.0801	4.1	28.4277	4.1	29.0391	4.1	30.2402	4.1	30.502	4.1	31.1016	4.1	32.2422	4.1	33.7422	4.1	34.0508	4.1	35.8809	4.1	36.8086	4.1	38.6289	4.1	40.0215
4.2	0	4.2	16.3887	4.2	24.4375	4.2	27.0781	4.2	28.4258	4.2	29.0469	4.2	30.2383	4.2	30.5117	4.2	31.0996	4.2	32.2402	4.2	33.7402	4.2	34.0488	4.2	35.8789	4.2	36.8066	4.2	38.6367	4.2	40.0195
