Cycle: 18  gp33 Y4F  98 nM_X	Cycle: 18  gp33 Y4F  98 nM_Y	Cycle: 19  gp33 Y4F  195 nM_X	Cycle: 19  gp33 Y4F  195 nM_Y	Cycle: 20  gp33 Y4F  390 nM_X	Cycle: 20  gp33 Y4F  390 nM_Y	Cycle: 21  gp33 Y4F  390 nM_X	Cycle: 21  gp33 Y4F  390 nM_Y	Cycle: 22  gp33 Y4F  780 nM_X	Cycle: 22  gp33 Y4F  780 nM_Y	Cycle: 23  gp33 Y4F  1560 nM_X	Cycle: 23  gp33 Y4F  1560 nM_Y	Cycle: 24  gp33 Y4F  3125 nM_X	Cycle: 24  gp33 Y4F  3125 nM_Y	Cycle: 25  gp33 Y4F  3125 nM_X	Cycle: 25  gp33 Y4F  3125 nM_Y	Cycle: 26  gp33 Y4F  6250 nM_X	Cycle: 26  gp33 Y4F  6250 nM_Y	Cycle: 27  gp33 Y4F  12500 nM_X	Cycle: 27  gp33 Y4F  12500 nM_Y	Cycle: 28  gp33 Y4F  25000 nM_X	Cycle: 28  gp33 Y4F  25000 nM_Y	Cycle: 29  gp33 Y4F  25000 nM_X	Cycle: 29  gp33 Y4F  25000 nM_Y	Cycle: 30  gp33 Y4F  50000 nM_X	Cycle: 30  gp33 Y4F  50000 nM_Y	Cycle: 31  gp33 Y4F  100000 nM_X	Cycle: 31  gp33 Y4F  100000 nM_Y
-57,46	0,42598	-57,36	0,405322	-57,46	0,155136	-57,36	0,135608	-57,46	0,15065	-57,36	0,0386231	-57,36	6,91533e-3	-57,36	-8,12984e-3	-57,36	-0,0810363	-57,36	-0,0229309	-57,46	-0,135696	-57,36	-0,154462	-57,46	-0,337112	-57,46	-0,354172
-57,36	0,437701	-57,26	0,410211	-57,3599	0,155133	-57,2599	0,101425	-57,36	0,142841	-57,26	0,014215	-57,26	0,0118041	-57,26	-0,0227723	-57,2599	-0,0761566	-57,2599	1,4801e-3	-57,36	-0,135693	-57,26	-0,159338	-57,36	-0,327344	-57,36	-0,352216
-57,2599	0,442581	-57,16	0,398483	-57,2599	0,152206	-57,16	0,101425	-57,2599	0,137955	-57,16	0,0337372	-57,16	0,011795	-57,16	-0,0227814	-57,16	-0,066391	-57,16	-0,0180511	-57,2599	-0,150345	-57,16	-0,169113	-57,2599	-0,320511	-57,2599	-0,366867
-57,16	0,42305	-57,06	0,419962	-57,16	0,132675	-57,06	0,130716	-57,16	0,128189	-57,06	0,0532625	-57,06	0,0430391	-57,06	-3,25608e-3	-57,06	-0,0253813	-57,06	1,47414e-3	-57,16	-0,179642	-57,06	-0,159353	-57,16	-0,340042	-57,16	-0,398117
-57,0599	0,4543	-56,96	0,404352	-57,0599	0,152206	-56,96	0,124863	-57,0599	0,137955	-56,96	0,0474091	-56,96	0,0157108	-56,96	-0,0188751	-56,96	-0,0214691	-56,96	-0,0336761	-57,0599	-0,150345	-56,96	-0,174973	-57,0599	-0,310745	-57,0599	-0,366867
-56,96	0,448441	-56,86	0,382873	-56,96	0,156113	-56,86	0,105346	-56,96	0,12233	-56,86	0,0376582	-56,86	0,0196223	-56,86	-0,0383916	-56,86	-0,0214543	-56,86	-0,0238957	-56,96	-0,16597	-56,86	-0,194489	-56,96	-0,316605	-56,96	-0,353195
-56,86	0,458221	-56,76	0,377973	-56,8599	0,14635	-56,7599	0,110214	-56,86	0,13211	-56,76	0,0425234	-56,76	0,0244875	-56,76	-0,0139952	-56,7599	-0,0165863	-56,7599	-0,0287933	-56,86	-0,195252	-56,76	-0,170093	-56,86	-0,336121	-56,86	-0,362946
-56,7599	0,453323	-56,66	0,373093	-56,7599	0,162949	-56,66	0,126816	-56,7599	0,148697	-56,66	0,0591278	-56,66	0,0176544	-56,66	-0,0188751	-56,66	-0,0214691	-56,66	-0,0336761	-56,7599	-0,180618	-56,66	-0,153488	-56,7599	-0,331253	-56,7599	-0,338547
-56,66	0,458206	-56,56	0,377978	-56,66	0,165878	-56,56	0,141467	-56,66	0,134048	-56,56	0,0425291	-56,56	0,0342588	-56,56	-0,0432863	-56,56	-0,0165834	-56,56	-7,3061e-3	-56,66	-0,195267	-56,56	-0,158368	-56,66	-0,336136	-56,66	-0,314133
-56,5599	0,463089	-56,46	0,370175	-56,5599	0,160995	-56,46	0,141464	-56,5599	0,129166	-56,46	0,0425262	-56,46	0,0245023	-56,46	-0,0628204	-56,46	-0,0263519	-56,46	-0,0268402	-56,5599	-0,1689	-56,46	-0,189621	-56,5599	-0,341019	-56,5599	-0,287766
