Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
3	0	3	14.0781	3	21.0508	3	24.5801	3	27.6992	3	29.8086	3	31.8105	3	32.3008	3	34.1191	3	36.7305	3	37.0195	3	40.6699	3	43.1504	3	43.8086	3	45.3477	3	46.9414
3.1	0	3.1	14.0879	3.1	21.0508	3.1	24.6016	3.1	27.6992	3.1	29.8086	3.1	31.8203	3.1	32.3105	3.1	34.1191	3.1	36.7305	3.1	37.0293	3.1	40.6699	3.1	43.1602	3.1	43.8184	3.1	45.3574	3.1	46.9512
3.2	0	3.2	14.0996	3.2	21.041	3.2	24.5918	3.2	27.6992	3.2	29.7676	3.2	31.8203	3.2	32.3203	3.2	34.1191	3.2	36.7305	3.2	37.0391	3.2	40.6699	3.2	43.1602	3.2	43.8184	3.2	45.3574	3.2	46.9512
3.3	0	3.3	14.0996	3.3	21.041	3.3	24.5918	3.3	27.6992	3.3	29.7676	3.3	31.8203	3.3	32.3203	3.3	34.1289	3.3	36.7305	3.3	37.0391	3.3	40.6797	3.3	43.1602	3.3	43.8184	3.3	45.3672	3.3	46.9609
3.4	0	3.4	14.0996	3.4	21.0508	3.4	24.5918	3.4	27.709	3.4	29.7773	3.4	31.8203	3.4	32.3203	3.4	34.1387	3.4	36.7402	3.4	37.0391	3.4	40.6797	3.4	43.1602	3.4	43.8184	3.4	45.3672	3.4	46.9609
3.5	0	3.5	14.0996	3.5	21.0605	3.5	24.6016	3.5	27.7188	3.5	29.7891	3.5	31.8301	3.5	32.3301	3.5	34.1387	3.5	36.75	3.5	37.0391	3.5	40.6797	3.5	43.1602	3.5	43.8184	3.5	45.377	3.5	46.9609
3.6	0	3.6	14.1191	3.6	21.0703	3.6	24.6113	3.6	27.7188	3.6	29.7891	3.6	31.8398	3.6	32.3398	3.6	34.1484	3.6	36.7598	3.6	37.0488	3.6	40.6895	3.6	43.1699	3.6	43.8379	3.6	45.3867	3.6	46.9707
3.7	0	3.7	14.1484	3.7	21.0703	3.7	24.6113	3.7	27.7285	3.7	29.7988	3.7	31.8398	3.7	32.3496	3.7	34.1484	3.7	36.7715	3.7	37.0586	3.7	40.6992	3.7	43.1797	3.7	43.8379	3.7	45.3867	3.7	46.9707
3.8	0	3.8	14.1484	3.8	21.0703	3.8	24.6016	3.8	27.7188	3.8	29.7988	3.8	31.8398	3.8	32.3398	3.8	34.1484	3.8	36.7617	3.8	37.0586	3.8	40.6895	3.8	43.1797	3.8	43.8281	3.8	45.377	3.8	46.9707
3.9	0	3.9	14.1484	3.9	21.0801	3.9	24.6016	3.9	27.7188	3.9	29.7891	3.9	31.8496	3.9	32.3398	3.9	34.1582	3.9	36.7617	3.9	37.0488	3.9	40.6895	3.9	43.1797	3.9	43.8379	3.9	45.3672	3.9	46.9707
4	0	4	14.1602	4	21.0918	4	24.6133	4	27.7402	4	29.8105	4	31.8613	4	32.3516	4	34.1797	4	36.7832	4	37.0605	4	40.7012	4	43.2109	4	43.8594	4	45.3887	4	46.9824
4.1	0	4.1	14.1719	4.1	21.1016	4.1	24.6133	4.1	27.75	4.1	29.8203	4.1	31.8613	4.1	32.3516	4.1	34.1797	4.1	36.7832	4.1	37.0605	4.1	40.7109	4.1	43.2012	4.1	43.8496	4.1	45.3887	4.1	46.9824
4.2	0	4.2	14.1914	4.2	21.1113	4.2	24.6328	4.2	27.7598	4.2	29.8203	4.2	31.8613	4.2	32.3613	4.2	34.1895	4.2	36.793	4.2	37.0801	4.2	40.7109	4.2	43.2109	4.2	43.8594	4.2	45.3984	4.2	46.9922
4.3	0	4.3	14.1914	4.3	21.1016	4.3	24.6133	4.3	27.7617	4.3	29.8105	4.3	31.8613	4.3	32.3613	4.3	34.1797	4.3	36.793	4.3	37.0605	4.3	40.7109	4.3	43.2012	4.3	43.8594	4.3	45.3789	4.3	46.9824
4.4	0	4.4	14.1914	4.4	21.1113	4.4	24.623	4.4	27.752	4.4	29.8086	4.4	31.8516	4.4	32.3516	4.4	34.1895	4.4	36.793	4.4	37.0605	4.4	40.7109	4.4	43.2109	4.4	43.8594	4.4	45.3789	4.4	46.9922
4.5	0	4.5	14.2012	4.5	21.123	4.5	24.6133	4.5	27.7617	4.5	29.8086	4.5	31.8418	4.5	32.3613	4.5	34.1797	4.5	36.7832	4.5	37.0605	4.5	40.7109	4.5	43.2109	4.5	43.8496	4.5	45.3809	4.5	46.9922
4.6	0	4.6	14.1992	4.6	21.1113	4.6	24.6113	4.6	27.75	4.6	29.7969	4.6	31.8301	4.6	32.3496	4.6	34.1777	4.6	36.7813	4.6	37.0488	4.6	40.6992	4.6	43.1992	4.6	43.8496	4.6	45.3691	4.6	46.9805
4.7	0	4.7	14.2285	4.7	21.1113	4.7	24.6016	4.7	27.7695	4.7	29.8086	4.7	31.8301	4.7	32.3594	4.7	34.168	4.7	36.7813	4.7	37.0586	4.7	40.6895	4.7	43.209	4.7	43.8496	4.7	45.3691	4.7	46.9805
4.8	0	4.8	14.2383	4.8	21.1016	4.8	24.6016	4.8	27.7695	4.8	29.8086	4.8	31.8184	4.8	32.3594	4.8	34.168	4.8	36.8008	4.8	37.0586	4.8	40.6992	4.8	43.2207	4.8	43.8398	4.8	45.3691	4.8	46.9805
4.9	0	4.9	14.2695	4.9	21.1211	4.9	24.5996	4.9	27.7891	4.9	29.8281	4.9	31.8379	4.9	32.3691	4.9	34.1777	4.9	36.8105	4.9	37.0703	4.9	40.6895	4.9	43.2305	4.9	43.8398	4.9	45.3887	4.9	46.9902
5	0	5	14.2891	5	21.1309	5	24.5996	5	27.8066	5	29.8379	5	31.8379	5	32.3887	5	34.1875	5	36.832	5	37.0801	5	40.6875	5	43.2402	5	43.8594	5	45.4082	5	47.0098
5.1	0	5.1	14.2793	5.1	21.1211	5.1	24.5898	5.1	27.7871	5.1	29.8379	5.1	31.8379	5.1	32.3789	5.1	34.1777	5.1	36.832	5.1	37.0703	5.1	40.6777	5.1	43.25	5.1	43.8379	5.1	45.3965	5.1	47.0117
5.2	0	5.2	14.2891	5.2	21.1406	5.2	24.5898	5.2	27.8594	5.2	29.8672	5.2	31.8379	5.2	32.4395	5.2	34.1777	5.2	36.8203	5.2	37.0879	5.2	40.6973	5.2	43.2598	5.2	43.8477	5.2	45.418	5.2	47.0703
5.3	0	5.3	14.3086	5.3	21.1484	5.3	24.6191	5.3	27.8496	5.3	29.9395	5.3	31.8984	5.3	32.4492	5.3	34.2383	5.3	36.8301	5.3	37.1484	5.3	40.7695	5.3	43.2793	5.3	43.8574	5.3	45.498	5.3	47.0996
5.4	0	5.4	14.3184	5.4	21.1895	5.4	24.6504	5.4	27.8398	5.4	29.9199	5.4	31.8691	5.4	32.4395	5.4	34.2188	5.4	36.8711	5.4	37.1484	5.4	40.7695	5.4	43.2988	5.4	43.8789	5.4	45.4785	5.4	47.0801
5.5	0	5.5	14.3379	5.5	21.2207	5.5	24.6699	5.5	27.8398	5.5	29.9297	5.5	31.8789	5.5	32.4473	5.5	34.248	5.5	36.8906	5.5	37.1582	5.5	40.7988	5.5	43.3184	5.5	43.8984	5.5	45.4785	5.5	47.0801
5.6	0	5.6	14.3574	5.6	21.2207	5.6	24.6895	5.6	27.8691	5.6	29.9395	5.6	31.8789	5.6	32.457	5.6	34.2676	5.6	36.9004	5.6	37.1895	5.6	40.8281	5.6	43.3281	5.6	43.9277	5.6	45.4883	5.6	47.0898
5.7	0	5.7	14.3691	5.7	21.2207	5.7	24.709	5.7	27.8789	5.7	29.9492	5.7	31.8574	5.7	32.457	5.7	34.2891	5.7	36.9102	5.7	37.1895	5.7	40.8281	5.7	43.3789	5.7	43.9473	5.7	45.498	5.7	47.0996
5.8	0	5.8	14.3906	5.8	21.2129	5.8	24.7207	5.8	27.8809	5.8	29.9512	5.8	31.8789	5.8	32.4609	5.8	34.291	5.8	36.9121	5.8	37.2012	5.8	40.8223	5.8	43.3809	5.8	43.9785	5.8	45.5	5.8	47.1016
5.9	0	5.9	14.4297	5.9	21.3027	5.9	24.7207	5.9	27.8906	5.9	29.9707	5.9	31.8789	5.9	32.4707	5.9	34.2891	5.9	36.9316	5.9	37.1816	5.9	40.8418	5.9	43.4121	5.9	44.0195	5.9	45.5195	5.9	47.1211
6	0	6	14.457	6	21.3105	6	24.7285	6	27.8574	6	29.959	6	31.9082	6	32.4492	6	34.2871	6	36.9297	6	37.1797	6	40.8203	6	43.3906	6	44.0469	6	45.5293	6	47.0996
6.1	0	6.1	14.5195	6.1	21.3906	6.1	24.791	6.1	27.9082	6.1	30	6.1	31.9902	6.1	32.4805	6.1	34.3301	6.1	36.9707	6.1	37.2109	6.1	40.8809	6.1	43.4512	6.1	44.1094	6.1	45.5801	6.1	47.1504
