Cycle: 15  SMARTA2-9V  195 nM_X	Cycle: 15  SMARTA2-9V  195 nM_Y	Cycle: 16  SMARTA2-9V  390 nM_X	Cycle: 16  SMARTA2-9V  390 nM_Y	Cycle: 17  SMARTA2-9V  780 nM_X	Cycle: 17  SMARTA2-9V  780 nM_Y	Cycle: 18  SMARTA2-9V  1560 nM_X	Cycle: 18  SMARTA2-9V  1560 nM_Y	Cycle: 19  SMARTA2-9V  3125 nM_X	Cycle: 19  SMARTA2-9V  3125 nM_Y	Cycle: 20  SMARTA2-9V  6250 nM_X	Cycle: 20  SMARTA2-9V  6250 nM_Y	Cycle: 21  SMARTA2-9V  12500 nM_X	Cycle: 21  SMARTA2-9V  12500 nM_Y	Cycle: 22  SMARTA2-9V  25000 nM_X	Cycle: 22  SMARTA2-9V  25000 nM_Y	Cycle: 23  SMARTA2-9V  50000 nM_X	Cycle: 23  SMARTA2-9V  50000 nM_Y	Cycle: 24  SMARTA2-9V  100000 nM_X	Cycle: 24  SMARTA2-9V  100000 nM_Y
-56,26	0,11261	-56,26	0,135437	-56,26	0,18573	-56,26	0,102844	-56,2599	0,111706	-56,26	-0,277405	-56,26	-0,257263	-56,2599	-0,309742	-56,26	-0,269958	-56,26	-0,263123
-56,16	0,0911255	-56,16	0,133484	-56,16	0,18573	-56,16	0,11261	-56,16	0,111633	-56,16	-0,267639	-56,16	-0,237732	-56,16	-0,300049	-56,16	-0,250427	-56,16	-0,25531
-56,06	0,110657	-56,06	0,164734	-56,06	0,224792	-56,06	0,173157	-56,0599	0,141022	-56,06	-0,248108	-56,06	-0,198669	-56,0599	-0,260895	-56,06	-0,211365	-56,06	-0,194763
-55,96	0,128326	-55,96	0,162781	-55,96	0,261993	-55,96	0,210266	-55,96	0,150787	-55,96	-0,238342	-55,96	-0,169281	-55,96	-0,231598	-55,96	-0,172211	-55,96	-0,155701
-55,86	0,151672	-55,86	0,195984	-55,86	0,297058	-55,86	0,243469	-55,86	0,162415	-55,86	-0,226624	-55,86	-0,114685	-55,8599	-0,188667	-55,86	-0,160583	-55,86	-0,163513
-55,76	0,0891724	-55,76	0,131531	-55,76	0,263855	-55,76	0,210266	-55,7599	0,119518	-55,76	-0,267639	-55,76	-0,243591	-55,7599	-0,229664	-55,76	-0,264099	-55,76	-0,214294
-55,66	0,130188	-55,66	0,1745	-55,66	0,166199	-55,66	0,102844	-55,66	0,0881958	-55,66	-0,257874	-55,66	-0,251404	-55,66	-0,339111	-55,66	-0,240662	-55,66	-0,214294
-55,56	0,123169	-55,56	0,194031	-55,56	0,168152	-55,56	0,104797	-55,5599	0,156593	-55,56	-0,267639	-55,56	-0,257263	-55,5599	-0,33712	-55,56	-0,232056	-55,56	-0,208435
-55,46	0,0951653	-55,46	0,178406	-55,46	0,15266	-55,46	0,0950317	-55,46	0,115673	-55,46	-0,304749	-55,46	-0,278614	-55,46	-0,360462	-55,46	-0,256153	-55,46	-0,261169
-55,36	0,239563	-55,36	0,336609	-55,36	0,297058	-55,36	0,234497	-55,36	0,260071	-55,36	-0,189514	-55,36	-0,13031	-55,3599	-0,21796	-55,36	-0,184021	-55,36	-0,110779
-55,26	0,114563	-55,26	0,203796	-55,26	0,326355	-55,26	0,317688	-55,2599	0,146065	-55,26	-0,263733	-55,26	-0,140076	-55,2599	-0,240227	-55,26	-0,190674	-55,26	-0,215088
-55,16	0,140747	-55,16	0,20459	-55,16	0,332214	-55,16	0,3255	-55,16	0,141724	-55,16	-0,249268	-55,16	-0,140076	-55,16	-0,236755	-55,16	-0,153931	-55,16	-0,215454
-55,06	0,166504	-55,06	0,191284	-55,06	0,304871	-55,06	0,30127	-55,0599	0,146835	-55,06	-0,228577	-55,06	-0,174072	-55,0599	-0,238297	-55,06	-0,159424	-55,06	-0,208435
-54,96	0,145859	-54,96	0,158875	-54,96	0,259201	-54,96	0,241516	-54,96	0,121445	-54,96	-0,248108	-54,96	-0,206436	-54,96	-0,243362	-54,96	-0,189835	-54,96	-0,214294
-54,86	0,120422	-54,86	0,144409	-54,86	0,21228	-54,86	0,184082	-54,86	0,101074	-54,86	-0,274292	-54,86	-0,220947	-54,8599	-0,263683	-54,86	-0,201599	-54,86	-0,244385
-54,76	0,102844	-54,76	0,151855	-54,76	0,177917	-54,76	0,151672	-54,7599	0,104671	-54,76	-0,264893	-54,76	-0,240845	-54,7599	-0,289433	-54,76	-0,211365	-54,76	-0,25647
-54,66	0,120422	-54,66	0,154968	-54,66	0,148621	-54,66	0,125488	-54,66	0,101868	-54,66	-0,23053	-54,66	-0,248291	-54,66	-0,283264	-54,66	-0,19574	-54,66	-0,265076
-54,56	0,125122	-54,56	0,145203	-54,56	0,0958862	-54,56	0,0579224	-54,5599	0,0863152	-54,56	-0,221924	-54,56	-0,268188	-54,5599	-0,303089	-54,56	-0,217224	-54,56	-0,282654
-54,46	0,155659	-54,46	0,158875	-54,46	0,0736885	-54,46	0,036438	-54,46	0,101948	-54,46	-0,182495	-54,46	-0,277508	-54,46	-0,29295	-54,46	-0,223003	-54,46	-0,268982
-54,36	0,189941	-54,36	0,1745	-54,36	0,0325928	-54,36	0,0239258	-54,36	0,135071	-54,36	-0,13092	-54,36	-0,281494	-54,3599	-0,288254	-54,36	-0,214111	-54,36	-0,243591
-54,26	0,199341	-54,26	0,170593	-54,26	9,94873e-3	-54,26	0,0118408	-54,2599	0,132042	-54,26	-0,0891113	-54,26	-0,303345	-54,2599	-0,317543	-54,26	-0,218384	-54,26	-0,241638
-54,16	0,202454	-54,16	0,178406	-54,16	0,0177612	-54,16	0,0130005	-54,16	0,126465	-54,16	-0,0527954	-54,16	-0,304932	-54,16	-0,339111	-54,16	-0,243408	-54,16	-0,226013
-54,06	0,215332	-54,06	0,194031	-54,06	0,0498047	-54,06	0,0442505	-54,0599	0,154686	-54,06	-0,0332642	-54,06	-0,300232	-54,0599	-0,331215	-54,06	-0,246521	-54,06	-0,234619
-53,96	0,204502	-53,96	0,179565	-53,96	0,0725441	-53,96	0,083313	-53,96	0,156651	-53,96	-0,0281982	-53,96	-0,290371	-53,96	-0,319485	-53,96	-0,244473	-53,96	-0,253357
-53,86	0,214966	-53,86	0,183105	-53,86	0,125977	-53,86	0,107544	-53,86	0,176086	-53,86	0,0163574	-53,86	-0,25647	-53,8599	-0,287441	-53,86	-0,208618	-53,86	-0,245544
-53,76	0,23877	-53,76	0,194031	-53,76	0,172058	-53,76	0,16925	-53,7599	0,201565	-53,76	0,0370483	-53,76	-0,226013	-53,7599	-0,253086	-53,76	-0,184021	-53,76	-0,222107
-53,66	0,241516	-53,66	0,180359	-53,66	0,18573	-53,66	0,182922	-53,66	0,183899	-53,66	0,0253296	-53,66	-0,208435	-53,66	-0,235596	-53,66	-0,166443	-53,66	-0,198669
-53,56	0,210266	-53,56	0,170593	-53,56	0,183777	-53,56	0,2005	-53,5599	0,161697	-53,56	-6,71387e-3	-53,56	-0,229919	-53,5599	-0,241379	-53,56	-0,176208	-53,56	-0,181091
-53,46	0,206429	-53,46	0,184265	-53,46	0,191658	-53,46	0,208313	-53,46	0,166389	-53,46	-0,0254517	-53,46	-0,222038	-53,46	-0,229668	-53,46	-0,183952	-53,46	-0,165466
-53,36	0,2005	-53,36	0,180359	-53,36	0,195496	-53,36	0,2005	-53,36	0,156555	-53,36	-0,0567017	-53,36	-0,223267	-53,3599	-0,219898	-53,36	-0,205505	-53,36	-0,165466
-53,26	0,204407	-53,26	0,186218	-53,26	0,205261	-53,26	0,20636	-53,2599	0,16053	-53,26	-0,0664673	-53,26	-0,206482	-53,2599	-0,215996	-53,26	-0,209412	-53,26	-0,155701
-53,16	0,180969	-53,16	0,1745	-53,16	0,205261	-53,16	0,196594	-53,16	0,14679	-53,16	-0,0762329	-53,16	-0,220154	-53,16	-0,190674	-53,16	-0,234802	-53,16	-0,174438
-53,06	0,161438	-53,06	0,154968	-53,06	0,205261	-53,06	0,182922	-53,0599	0,152725	-53,06	-0,10553	-53,06	-0,25531	-53,0599	-0,188644	-53,06	-0,234802	-53,06	-0,183044
-52,96	0,177135	-52,96	0,1745	-52,96	0,224865	-52,96	0,180969	-52,96	0,160534	-52,96	-0,0859985	-52,96	-0,245472	-52,96	-0,17107	-52,96	-0,224964	-52,96	-0,173279
-52,86	0,180969	-52,86	0,186218	-52,86	0,256042	-52,86	0,182922	-52,86	0,172974	-52,86	-0,0859985	-52,86	-0,226013	-52,8599	-0,159355	-52,86	-0,223083	-52,86	-0,157654
-52,76	0,184875	-52,76	0,194031	-52,76	0,254089	-52,76	0,192688	-52,7599	0,172253	-52,76	-0,101624	-52,76	-0,235779	-52,7599	-0,144886	-52,76	-0,22699	-52,76	-0,159607
-52,66	0,180176	-52,66	0,19519	-52,66	0,265015	-52,66	0,182129	-52,66	0,17334	-52,66	-0,110229	-52,66	-0,226807	-52,66	-0,142639	-52,66	-0,214111	-52,66	-0,156494
-52,56	0,149719	-52,56	0,184265	-52,56	0,250183	-52,56	0,161438	-52,5599	0,15662	-52,56	-0,142639	-52,56	-0,241638	-52,5599	-0,159359	-52,56	-0,242615	-52,56	-0,198669
-52,46	0,138069	-52,46	0,166687	-52,46	0,226814	-52,46	0,149719	-52,46	0,144905	-52,46	-0,134827	-52,46	-0,243523	-52,46	-0,157402	-52,46	-0,262077	-52,46	-0,235779
-52,36	0,144653	-52,36	0,153015	-52,36	0,219727	-52,36	0,160278	-52,36	0,142883	-52,36	-0,13678	-52,36	-0,253357	-52,3599	-0,169125	-52,36	-0,242615	-52,36	-0,220154
-52,26	0,129395	-52,26	0,123718	-52,26	0,210327	-52,26	0,141907	-52,2599	0,129295	-52,26	-0,142639	-52,26	-0,276794	-52,2599	-0,182777	-52,26	-0,256287	-52,26	-0,220154
-52,16	0,134094	-52,16	0,117859	-52,16	0,213074	-52,16	0,171204	-52,16	0,142883	-52,16	-0,140686	-52,16	-0,249451	-52,16	-0,177002	-52,16	-0,242615	-52,16	-0,204529
-52,06	0,0977783	-52,06	0,072937	-52,06	0,168152	-52,06	0,141907	-52,0599	0,0999908	-52,06	-0,19928	-52,06	-0,259216	-52,0599	-0,212082	-52,06	-0,273865	-52,06	-0,231873
-51,96	0,104855	-51,96	0,0913086	-51,96	0,188534	-51,96	0,155579	-51,96	0,105831	-51,96	-0,177795	-51,96	-0,233768	-51,96	-0,216007	-51,96	-0,267155	-51,96	-0,220154
-51,86	0,0794067	-51,86	0,0709839	-51,86	0,168152	-51,86	0,138	-51,86	0,0803833	-51,86	-0,197327	-51,86	-0,259216	-51,8599	-0,241402	-51,86	-0,269958	-51,86	-0,216248
