Cycle: 15  SMARTA2-9V  98 nM_X	Cycle: 15  SMARTA2-9V  98 nM_Y	Cycle: 16  SMARTA2-9V  195 nM_X	Cycle: 16  SMARTA2-9V  195 nM_Y	Cycle: 17  SMARTA2-9V  390 nM_X	Cycle: 17  SMARTA2-9V  390 nM_Y	Cycle: 18  SMARTA2-9V  780 nM_X	Cycle: 18  SMARTA2-9V  780 nM_Y	Cycle: 19  SMARTA2-9V  1560 nM_X	Cycle: 19  SMARTA2-9V  1560 nM_Y	Cycle: 20  SMARTA2-9V  3125 nM_X	Cycle: 20  SMARTA2-9V  3125 nM_Y	Cycle: 21  SMARTA2-9V  6250 nM_X	Cycle: 21  SMARTA2-9V  6250 nM_Y	Cycle: 22  SMARTA2-9V  12500 nM_X	Cycle: 22  SMARTA2-9V  12500 nM_Y	Cycle: 23  SMARTA2-9V  25000 nM_X	Cycle: 23  SMARTA2-9V  25000 nM_Y	Cycle: 24  SMARTA2-9V  50000 nM_X	Cycle: 24  SMARTA2-9V  50000 nM_Y	Cycle: 25  SMARTA2-9V  100000 nM_X	Cycle: 25  SMARTA2-9V  100000 nM_Y
-55,96	0,445557	-56,0599	0,490356	-56,0599	0,59082	-56,0599	0,629883	-55,96	0,457764	-56,0599	0,299072	-56,0599	0,122559	-55,96	-0,167137	-56,0599	-0,349304	-56,0599	-0,512451	-55,96	-0,649376
-55,86	0,445557	-55,96	0,490356	-55,96	0,62793	-55,96	0,65918	-55,86	0,475342	-55,96	0,345947	-55,96	0,14209	-55,86	-0,178772	-55,96	-0,339539	-55,96	-0,506592	-55,86	-0,659058
-55,76	0,45525	-55,86	0,48645	-55,86	0,649414	-55,8599	0,686596	-55,7599	0,498779	-55,8599	0,367504	-55,86	0,149902	-55,76	-0,176891	-55,8599	-0,331654	-55,8599	-0,506519	-55,76	-0,69038
-55,66	0,41626	-55,7599	0,498169	-55,7599	0,670898	-55,7599	0,688477	-55,66	0,457764	-55,7599	0,365479	-55,7599	0,132324	-55,66	-0,141663	-55,7599	-0,351257	-55,7599	-0,543701	-55,66	-0,674683
-55,56	0,328369	-55,66	0,55481	-55,66	0,604492	-55,66	0,624023	-55,56	0,340576	-55,66	0,367432	-55,66	0,106934	-55,56	-0,254944	-55,66	-0,304382	-55,66	-0,463623	-55,56	-0,777405
-55,46	0,348694	-55,5599	0,463013	-55,5599	0,50293	-55,5599	0,511536	-55,46	0,351135	-55,5599	0,226807	-55,5599	0,0112305	-55,46	-0,250301	-55,5599	-0,388367	-55,5599	-0,563232	-55,46	-0,752071
-55,36	0,371338	-55,46	0,487244	-55,46	0,493958	-55,46	0,517395	-55,36	0,373779	-55,46	0,225647	-55,46	0,0139771	-55,36	-0,221741	-55,46	-0,364136	-55,46	-0,539001	-55,36	-0,733276
-55,26	0,47197	-55,36	0,515747	-55,36	0,516602	-55,3599	0,549942	-55,2599	0,558533	-55,3599	0,254288	-55,36	0,0483398	-55,26	-0,212906	-55,3599	-0,44371	-55,3599	-0,488083	-55,26	-0,698257
-55,16	0,451416	-55,2599	0,5177	-55,2599	0,627136	-55,2599	0,699402	-55,16	0,549561	-55,2599	0,3479	-55,2599	0,106934	-55,16	-0,195557	-55,2599	-0,316101	-55,2599	-0,485901	-55,16	-0,712952
-55,06	0,420116	-55,16	0,549744	-55,16	0,607239	-55,16	0,672852	-55,06	0,522167	-55,16	0,328369	-55,16	0,097168	-55,06	-0,19054	-55,16	-0,319214	-55,16	-0,480408	-55,06	-0,712635
-54,96	0,407654	-55,0599	0,536438	-55,0599	0,578308	-55,0599	0,625977	-54,96	0,499939	-55,0599	0,304932	-55,0599	0,0913086	-54,96	-0,185474	-55,0599	-0,328613	-55,0599	-0,489014	-54,96	-0,702076
-54,86	0,392822	-54,96	0,54895	-54,96	0,545105	-54,96	0,566589	-54,86	0,453064	-54,96	0,259216	-54,96	0,0651245	-54,86	-0,19635	-54,96	-0,32782	-54,96	-0,501526	-54,86	-0,695007
-54,76	0,386913	-54,86	0,537231	-54,86	0,487305	-54,8599	0,49242	-54,7599	0,401917	-54,8599	0,238575	-54,86	0,019043	-54,76	-0,189747	-54,8599	-0,350048	-54,8599	-0,533886	-54,76	-0,697376
-54,66	0,369385	-54,7599	0,536072	-54,7599	0,467773	-54,7599	0,438477	-54,66	0,371033	-54,7599	0,211182	-54,7599	5,37109e-3	-54,66	-0,206909	-54,7599	-0,358276	-54,7599	-0,531982	-54,66	-0,690308
-54,56	0,34901	-54,66	0,536438	-54,66	0,444336	-54,66	0,40448	-54,56	0,312389	-54,66	0,185791	-54,66	0,0112305	-54,56	-0,219837	-54,66	-0,35321	-54,66	-0,512451	-54,56	-0,691151
-54,46	0,343994	-54,5599	0,54895	-54,5599	0,424011	-54,5599	0,365417	-54,46	0,273376	-54,5599	0,177185	-54,5599	0,0162964	-54,46	-0,210869	-54,5599	-0,336426	-54,5599	-0,519104	-54,46	-0,682549
-54,36	0,309998	-54,46	0,546997	-54,46	0,418152	-54,46	0,323242	-54,36	0,226501	-54,46	0,175232	-54,46	5,37109e-3	-54,36	-0,213928	-54,46	-0,347351	-54,46	-0,541748	-54,36	-0,693054
-54,26	0,273621	-54,36	0,531372	-54,36	0,389648	-54,3599	0,297119	-54,2599	0,183167	-54,3599	0,168274	-54,36	-1,28174e-3	-54,26	-0,241333	-54,3599	-0,357849	-54,3599	-0,547546	-54,26	-0,707153
-54,16	0,22876	-54,2599	0,496216	-54,2599	0,344727	-54,2599	0,265442	-54,16	0,154236	-54,2599	0,151428	-54,2599	-0,0387573	-54,16	-0,260803	-54,2599	-0,383667	-54,2599	-0,582764	-54,16	-0,741089
-54,06	0,216175	-54,16	0,470825	-54,16	0,312683	-54,16	0,245117	-54,06	0,145191	-54,16	0,120544	-54,16	-0,0735474	-54,06	-0,270641	-54,16	-0,42627	-54,16	-0,58667	-54,06	-0,767345
