Cycle: 3  SMARTA2-9C  195 nM_X	Cycle: 3  SMARTA2-9C  195 nM_Y	Cycle: 4  SMARTA2-9C  390 nM_X	Cycle: 4  SMARTA2-9C  390 nM_Y	Cycle: 5  SMARTA2-9C  780 nM_X	Cycle: 5  SMARTA2-9C  780 nM_Y	Cycle: 6  SMARTA2-9C  1560 nM_X	Cycle: 6  SMARTA2-9C  1560 nM_Y	Cycle: 7  SMARTA2-9C  3125 nM_X	Cycle: 7  SMARTA2-9C  3125 nM_Y	Cycle: 8  SMARTA2-9C  6250 nM_X	Cycle: 8  SMARTA2-9C  6250 nM_Y	Cycle: 9  SMARTA2-9C  12500 nM_X	Cycle: 9  SMARTA2-9C  12500 nM_Y	Cycle: 10  SMARTA2-9C  25000 nM_X	Cycle: 10  SMARTA2-9C  25000 nM_Y	Cycle: 11  SMARTA2-9C  50000 nM_X	Cycle: 11  SMARTA2-9C  50000 nM_Y	Cycle: 12  SMARTA2-9C  100000 nM_X	Cycle: 12  SMARTA2-9C  100000 nM_Y
-55,66	0,107666	-55,66	0,0429688	-55,56	0,301975	-55,56	0,257481	-55,66	0,372803	-55,66	0,387146	-55,56	0,447422	-55,66	0,456665	-55,66	0,476929	-55,66	0,475098
-55,56	0,113499	-55,56	0,126926	-55,46	0,292175	-55,46	0,242981	-55,56	0,40012	-55,56	0,396885	-55,46	0,46106	-55,5599	0,474277	-55,5599	0,471104	-55,5599	0,49271
-55,46	0,107666	-55,46	0,117188	-55,36	0,269363	-55,36	0,205338	-55,46	0,425537	-55,46	0,416443	-55,36	0,457779	-55,46	0,466431	-55,46	0,504272	-55,46	0,498535
-55,36	0,0800934	-55,36	0,10408	-55,26	0,156464	-55,26	0,0826721	-55,36	0,41127	-55,36	0,409195	-55,26	0,330414	-55,3599	0,46703	-55,36	0,500931	-55,3599	0,460865
-55,2599	1,23215e-3	-55,26	0,0224304	-55,16	0,158447	-55,16	0,088562	-55,26	0,272186	-55,2599	0,268993	-55,16	0,315613	-55,2599	0,326	-55,2599	0,41151	-55,2599	0,282726
-55,16	7,08008e-3	-55,16	0,0185547	-55,06	0,132248	-55,06	0,0572968	-55,16	0,255798	-55,16	0,254517	-55,06	0,272629	-55,16	0,326782	-55,16	0,363831	-55,16	0,272156
-55,06	5,11169e-3	-55,06	-8,80432e-3	-54,96	0,101772	-54,96	0,0584373	-55,06	0,197983	-55,06	0,212326	-54,96	0,251125	-55,0599	0,285786	-55,0599	0,325581	-55,0599	0,243671
-54,96	-6,5918e-3	-54,96	-6,83594e-3	-54,86	0,0988579	-54,86	0,0387383	-54,96	0,178467	-54,96	0,184998	-54,86	0,22398	-54,96	0,262329	-54,96	0,290405	-54,96	0,218262
-54,86	-0,0153999	-54,86	-3,92532e-3	-54,76	0,0740471	-54,76	0,05299	-54,86	0,166912	-54,86	0,181255	-54,76	0,199963	-54,8599	0,230118	-54,86	0,259319	-54,8599	0,214554
-54,7599	-0,0312119	-54,76	-0,0119514	-54,66	0,0686035	-54,66	0,0241089	-54,76	0,138988	-54,7599	0,161171	-54,66	0,156616	-54,7599	0,224037	-54,7599	0,206032	-54,7599	0,182716
-54,66	-0,0690918	-54,66	-0,0263672	-54,56	0,0236664	-54,56	0,0182343	-54,66	0,104248	-54,66	0,13031	-54,56	0,114426	-54,66	0,197876	-54,66	0,160706	-54,66	0,157715
-54,56	-0,0925446	-54,56	-0,0478668	-54,46	0,0345612	-54,46	0,0115509	-54,56	0,0749359	-54,56	0,115829	-54,46	0,102676	-54,5599	0,16861	-54,5599	0,118561	-54,5599	0,121796
-54,46	-0,0847168	-54,46	-0,0361328	-54,36	-4,26483e-3	-54,36	-0,0175095	-54,46	0,0487671	-54,46	0,0971069	-54,36	0,0767288	-54,46	0,15686	-54,46	0,107971	-54,46	0,124512
-54,36	-0,120476	-54,36	-0,0660324	-54,26	-0,0242081	-54,26	-0,0335464	-54,36	-0,0115891	-54,36	0,0515823	-54,26	0,0403671	-54,3599	0,11842	-54,36	0,0358963	-54,3599	0,102489
-54,2599	-0,118866	-54,26	-0,0781631	-54,16	-0,0222168	-54,16	-0,0374146	-54,26	-0,0217667	-54,2599	0,0278015	-54,16	9,94873e-3	-54,2599	0,0758362	-54,2599	-0,0218811	-54,2599	0,0864563
-54,16	-0,122803	-54,16	-0,0957031	-54,06	-0,0486145	-54,06	-0,0579529	-54,16	-0,0549316	-54,16	0,019165	-54,06	-0,0398865	-54,16	0,03479	-54,16	-0,0601807	-54,16	0,0766602
-54,06	-0,157013	-54,06	-0,112335	-53,96	-0,0623245	-53,96	-0,0814285	-54,06	-0,0840759	-54,06	-0,0318298	-53,96	-0,061409	-54,0599	-0,0130234	-54,0599	-0,0865097	-54,0599	0,0417252
-53,96	-0,192932	-53,96	-0,12207	-53,86	-0,077919	-53,86	-0,081398	-53,96	-0,110596	-53,96	-0,0454712	-53,86	-0,0777969	-53,96	-0,0158081	-53,96	-0,0982666	-53,96	5,37109e-3
-53,86	-0,22538	-53,86	-0,120155	-53,76	-0,0837784	-53,76	-0,113441	-53,86	-0,139931	-53,86	-0,0787125	-53,76	-0,1063	-53,8599	-0,0481796	-53,86	-0,104164	-53,8599	-0,0180283
-53,7599	-0,235077	-53,76	-0,114296	-53,66	-0,0909729	-53,66	-0,151093	-53,76	-0,162209	-53,7599	-0,11264	-53,66	-0,12912	-53,7599	-0,0540466	-53,7599	-0,0865173	-53,7599	-0,0551453
-53,66	-0,252106	-53,66	-0,134003	-53,56	-0,104103	-53,56	-0,147804	-53,66	-0,195953	-53,66	-0,134735	-53,56	-0,121925	-53,66	-0,100372	-53,66	-0,0918274	-53,66	-0,08078
-53,56	-0,254677	-53,56	-0,129921	-53,46	-0,106277	-53,46	-0,158585	-53,56	-0,196571	-53,56	-0,109962	-53,46	-0,119034	-53,5599	-0,108727	-53,5599	-0,0923691	-53,5599	-0,119591
-53,46	-0,253662	-53,46	-0,136719	-53,36	-0,130653	-53,36	-0,169289	-53,46	-0,183838	-53,46	-0,114807	-53,36	-0,123878	-53,46	-0,124207	-53,46	-0,0933838	-53,46	-0,120605
-53,36	-0,274208	-53,36	-0,143593	-53,26	-0,134567	-53,26	-0,159531	-53,36	-0,17704	-53,36	-0,111916	-53,26	-0,123886	-53,3599	-0,132164	-53,36	-0,117836	-53,3599	-0,139122
-53,2599	-0,289764	-53,26	-0,127975	-53,16	-0,121826	-53,16	-0,137024	-53,26	-0,169235	-53,2599	-0,123566	-53,16	-0,0994263	-53,2599	-0,116547	-53,2599	-0,0904236	-53,2599	-0,125458
-53,16	-0,284912	-53,16	-0,115234	-53,06	-0,117378	-53,06	-0,130623	-53,16	-0,158447	-53,16	-0,112061	-53,06	-0,089119	-53,16	-0,103088	-53,16	-0,0562744	-53,16	-0,128418
-53,06	-0,276558	-53,06	-0,122505	-52,96	-0,13166	-52,96	-0,146858	-53,06	-0,161812	-53,06	-0,0947342	-52,96	-0,0955887	-53,0599	-0,0720215	-53,0599	-0,0634766	-53,0599	-0,118042
-52,96	-0,281006	-52,96	-0,125	-52,86	-0,132603	-52,86	-0,151707	-52,96	-0,177185	-52,96	-0,0796509	-52,86	-0,0906715	-52,96	-0,0628662	-52,96	-0,0621338	-52,96	-0,118652
-52,86	-0,278111	-52,86	-0,133823	-52,76	-0,13456	-52,76	-0,149757	-52,86	-0,175083	-52,86	-0,0865211	-52,76	-0,0672379	-52,8599	-0,0716209	-52,86	-0,0592384	-52,8599	-0,109829
-52,7599	-0,260471	-52,76	-0,133827	-52,66	-0,149353	-52,66	-0,14386	-52,76	-0,167274	-52,7599	-0,0825539	-52,66	-0,0789185	-52,7599	-0,0853004	-52,7599	-0,0455055	-52,7599	-0,109837
-52,66	-0,264404	-52,66	-0,145508	-52,56	-0,129097	-52,56	-0,140388	-52,66	-0,169189	-52,66	-0,0806274	-52,56	-0,0539627	-52,66	-0,0853271	-52,66	-0,0611572	-52,66	-0,111816
-52,56	-0,262886	-52,56	-0,142036	-52,46	-0,164677	-52,46	-0,157597	-52,56	-0,153999	-52,56	-0,0634842	-52,46	-0,0664711	-52,5599	-0,0720253	-52,5599	-0,0704994	-52,5599	-0,102421
-52,46	-0,268311	-52,46	-0,163086	-52,36	-0,174591	-52,36	-0,17807	-52,46	-0,157471	-52,46	-0,0728149	-52,36	-0,0701599	-52,46	-0,0540771	-52,46	-0,0865479	-52,46	-0,0942383
-52,36	-0,269318	-52,36	-0,154327	-52,26	-0,167942	-52,26	-0,207371	-52,36	-0,17215	-52,36	-0,0816345	-52,26	-0,089695	-52,3599	-0,0589218	-52,36	-0,0738831	-52,3599	-0,101036
-52,2599	-0,259487	-52,26	-0,16135	-52,16	-0,155029	-52,16	-0,206543	-52,26	-0,195591	-52,2599	-0,103054	-52,16	-0,102173	-52,2599	-0,0608788	-52,2599	-0,069912	-52,2599	-0,112759
-52,16	-0,247009	-52,16	-0,164063	-52,06	-0,140419	-52,06	-0,212257	-52,16	-0,226807	-52,16	-0,0913696	-52,06	-0,109413	-52,16	-0,0823975	-52,16	-0,0718994	-52,16	-0,124512
-52,06	-0,233192	-52,06	-0,153358	-51,96	-0,134014	-51,96	-0,219524	-52,06	-0,200478	-52,06	-0,0837784	-51,96	-0,117474	-52,0599	-0,0716209	-52,0599	-0,0845604	-52,0599	-0,131313
-51,96	-0,240387	-51,96	-0,144928	-51,86	-0,115028	-51,86	-0,22007	-51,96	-0,194	-51,96	-0,0839539	-51,86	-0,084816	-51,96	-0,0613098	-51,96	-0,0801086	-51,96	-0,128021
-51,86	-0,215614	-51,86	-0,129921	-51,76	-0,0964699	-51,76	-0,224949	-51,86	-0,175087	-51,86	-0,0689468	-51,76	-0,0838356	-51,8599	-0,0727806	-51,86	-0,0807266	-51,8599	-0,111782
-51,7599	-0,204803	-51,76	-0,119175	-51,66	-0,0993652	-51,66	-0,239563	-51,76	-0,17606	-51,7599	-0,0600891	-51,66	-0,108215	-51,7599	-0,0550232	-51,7599	-0,0718689	-51,7599	-0,112762
